Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Nouvelle-Aquitaine;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;16300;Val-de-Bonnieure;96;2;1;231;33;167;56;110;41;1;0;23;47;807
;16301;Saint-Aulais-la-Chapelle;13;0;1;46;5;30;10;20;11;0;0;7;4;147
;16302;Saint-Avit;16;1;0;29;7;29;12;23;11;1;0;9;9;148
;16303;Saint-Bonnet;24;2;0;76;7;62;18;27;13;0;0;12;10;252
;16304;Saint-Brice;180;7;3;210;42;121;69;59;10;6;0;14;35;757
;16306;Saint-Christophe;16;0;0;46;6;29;16;27;11;0;0;4;16;172
;16307;Saint-Ciers-sur-Bonnieure;24;0;0;72;7;41;18;36;7;2;0;10;2;220
;16308;Saint-Claud;34;0;0;186;23;122;50;91;51;1;1;29;42;630
;16310;Saint-Coutant;12;0;0;27;3;28;7;23;13;0;0;8;8;130
;16312;Saint-Cybardeaux;62;1;0;182;17;105;39;74;29;0;0;20;35;565
;16315;Saint-Félix;8;0;0;20;1;13;4;12;10;0;0;3;4;75
;16316;Saint-Fort-sur-le-Né;35;2;0;78;6;62;19;22;5;1;0;2;17;249
;16317;Saint-Fraigne;22;2;0;71;11;53;12;39;16;1;0;20;10;258
;16318;Saint-Front;23;0;0;43;4;34;14;17;9;0;0;19;8;171
;16320;Saint-Genis-d'Hiersac;54;0;1;184;11;132;35;67;33;1;1;18;24;561
;16321;Saint-Georges;3;0;0;4;2;8;0;5;3;0;0;1;0;26
;16323;Saint-Germain-de-Montbron;33;1;1;65;12;64;20;43;15;1;0;15;23;292
;16325;Saint-Gourson;11;0;0;23;6;20;5;12;10;0;0;4;10;102
;16326;Saint-Groux;13;0;0;28;1;22;15;14;5;0;0;1;1;100
;16329;Saint-Laurent-de-Céris;44;0;0;127;22;73;42;67;34;1;0;23;14;445
;16330;Saint-Laurent-de-Cognac;103;1;1;183;30;87;56;56;12;3;0;8;27;568
;16331;Saint-Laurent-des-Combes;6;0;0;21;5;15;7;9;1;0;0;3;1;68
