Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Île-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;77137;Courtacon;17;0;0;40;11;35;16;14;5;0;0;6;9;153
;77138;Courtomer;57;0;2;123;25;77;25;39;10;1;0;5;15;378
;77139;Courtry;961;16;9;1048;343;693;391;334;75;13;1;39;112;4034
;77140;Coutençon;17;1;0;54;11;31;16;20;9;0;0;7;8;175
;77141;Coutevroult;152;2;4;169;52;105;47;70;15;3;1;6;20;645
;77142;Crécy-la-Chapelle;726;8;6;795;240;483;223;249;47;17;0;34;96;2922
;77143;Crégy-lès-Meaux;583;10;7;699;175;457;242;222;58;5;0;15;50;2523
;77144;Crèvecoeur-en-Brie;65;4;0;81;26;31;24;31;3;0;0;3;12;282
;77145;Crisenoy;95;1;1;141;22;74;22;34;10;0;1;4;12;417
;77146;Croissy-Beaubourg;832;7;13;991;139;175;152;96;9;15;0;4;19;2453
;77147;La Croix-en-Brie;55;2;0;123;33;83;40;52;14;1;0;7;22;432
;77148;Crouy-sur-Ourcq;146;3;1;251;65;194;89;103;18;1;0;15;45;930
;77150;Cuisy;33;1;0;89;21;50;21;31;7;1;0;3;10;268
;77151;Dagny;36;0;0;66;8;40;9;23;2;0;0;4;6;195
;77152;Dammarie-les-Lys;2133;52;19;2244;768;1874;1058;1193;303;31;1;116;287;10078
;77153;Dammartin-en-Goële;1346;21;5;1818;384;1072;432;502;110;12;0;37;107;5845
;77154;Dammartin-sur-Tigeaux;129;3;1;209;46;145;63;58;16;3;1;3;19;696
;77155;Dampmart;462;13;5;486;157;323;196;171;38;9;1;24;79;1966
;77156;Darvault;82;4;0;156;28;122;54;72;14;2;0;5;24;562
;77157;Dhuisy;28;1;0;56;8;46;14;22;6;0;0;0;2;185
;77158;Diant;31;0;0;27;13;26;15;22;4;0;0;4;8;152
;77159;Donnemarie-Dontilly;265;11;2;410;89;333;156;167;66;2;1;30;71;1603
;77161;Dormelles;86;1;1;131;44;94;55;56;13;5;1;9;19;516
;77162;Doue;115;6;1;205;40;137;66;73;15;1;0;7;23;689
;77163;Douy-la-Ramée;28;1;0;65;10;40;17;26;9;2;0;2;7;207
;77164;Échouboulains;50;3;0;103;27;74;19;48;12;1;0;7;12;357
;77165;Les Écrennes;85;1;1;151;21;69;22;46;11;2;0;9;9;428
;77167;Égligny;26;0;0;57;14;37;16;29;11;0;0;6;3;199
;77168;Égreville;197;3;3;337;55;281;106;170;49;6;0;32;64;1304
;77169;Émerainville;1074;18;22;1423;313;662;373;278;57;17;1;19;77;4335
;77171;Esbly;920;14;13;833;326;517;366;281;60;16;1;25;97;3470
;77172;Esmans;115;3;1;138;38;104;46;69;13;2;0;14;21;565
;77173;Étrépilly;75;0;1;153;30;95;32;63;9;1;0;2;15;479
;77174;Everly;47;1;2;118;18;79;35;37;14;0;0;8;12;370
;77175;Évry-Grégy-sur-Yerre;521;5;5;701;133;352;123;134;28;12;0;18;46;2078
;77176;Faremoutiers;324;4;3;517;104;339;149;151;38;7;1;17;55;1708
;77177;Favières;179;4;4;202;52;123;44;55;20;4;0;9;29;725
;77178;Faÿ-lès-Nemours;60;0;1;92;34;57;32;33;8;1;1;9;9;337
;77179;Féricy;89;0;3;106;32;79;35;26;10;1;1;3;15;402
;77180;Férolles-Attilly;223;3;4;201;72;106;57;41;10;6;0;3;17;743
;77181;Ferrières-en-Brie;628;5;5;1308;165;321;166;131;28;6;1;14;52;2829
;77182;La Ferté-Gaucher;301;5;2;547;102;410;207;323;72;3;0;42;78;2093
;77183;La Ferté-sous-Jouarre;927;17;13;1079;295;748;451;455;108;12;1;48;116;4271
;77184;Flagy;68;0;0;109;31;82;35;55;8;1;0;10;20;420
;77185;Fleury-en-Bière;109;1;1;111;34;74;31;36;10;1;0;3;14;426
;77186;Fontainebleau;2032;24;22;1935;615;1029;769;476;119;37;3;49;225;7335
;77187;Fontaine-Fourches;39;0;1;99;20;68;32;49;12;3;0;10;17;350
;77188;Fontaine-le-Port;187;3;3;157;60;117;63;60;10;3;2;7;34;708
;77190;Fontains;43;1;0;45;10;35;22;12;0;0;0;3;2;173
;77191;Fontenailles;122;4;0;225;30;137;52;83;15;0;0;9;9;686
;77192;Fontenay-Trésigny;627;12;8;1045;202;642;283;351;70;4;0;24;93;3361
;77193;Forfry;28;2;1;52;5;23;12;7;3;1;0;1;6;141
;77194;Forges;45;2;0;65;15;41;17;25;12;2;0;2;8;235
