Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bretagne;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;22220;Plouguernével;141;5;1;378;53;252;75;137;56;2;0;17;44;1162
;22221;Plouguiel;201;4;0;233;59;216;109;137;48;0;0;24;50;1080
;22222;Plouha;560;15;4;787;194;599;315;379;108;13;2;84;139;3199
;22223;Plouisy;161;2;0;426;77;261;109;156;50;0;0;26;54;1322
;22224;Ploulec'h;250;0;1;260;79;219;117;116;34;2;0;15;33;1125
;22225;Ploumagoar;601;12;4;1065;178;675;300;391;96;11;1;56;100;3491
;22226;Ploumilliau;299;3;0;368;75;312;150;223;59;5;0;36;66;1597
;22227;Plounérin;58;2;1;112;18;97;27;52;22;3;0;15;19;425
;22228;Plounévez-Moëdec;91;5;0;234;30;176;76;138;59;3;0;37;34;883
;22229;Plounévez-Quintin;69;1;0;217;30;155;64;101;36;2;0;11;29;714
;22231;Plourac'h;24;1;0;57;9;41;14;30;7;0;0;10;13;207
;22232;Plourhan;227;4;2;349;66;258;127;152;35;5;0;20;39;1284
;22233;Plourivo;184;3;0;429;68;333;122;166;41;4;0;36;50;1436
;22234;Plouvara;86;4;0;182;24;135;61;81;34;1;0;18;28;655
;22235;Plouzélambre;23;0;0;45;0;32;17;10;8;0;0;5;10;150
;22236;Pludual;62;2;1;144;15;93;43;49;13;1;0;17;21;462
;22237;Pluduno;235;6;0;438;82;310;88;164;63;1;0;42;47;1477
;22238;Plufur;48;0;0;75;19;93;34;44;16;0;0;12;18;360
;22239;Plumaudan;106;4;1;203;36;170;65;106;32;3;0;25;29;779
;22240;Plumaugat;58;2;0;153;39;151;52;109;33;1;0;29;34;661
;22241;Plumieux;63;1;0;205;21;144;46;73;26;0;0;14;18;612
;22242;Plurien;159;3;2;263;46;177;97;112;37;1;0;23;44;964
;22243;Plusquellec;38;0;0;98;22;75;43;35;13;1;0;8;12;345
;22244;Plussulien;33;1;0;78;8;54;26;41;12;0;0;8;15;277
;22245;Pluzunet;68;1;0;143;32;159;54;83;44;2;0;13;30;628
;22246;Pommeret;163;5;1;396;55;293;104;148;50;2;1;25;46;1289
;22248;Pommerit-le-Vicomte;148;7;0;282;65;216;86;146;52;2;1;22;47;1073
;22249;Pont-Melvez;46;3;0;107;19;95;26;48;18;1;0;11;9;383
;22250;Pontrieux;87;2;0;125;36;101;47;58;21;0;0;17;34;528
;22251;Pordic;905;19;8;1320;309;956;373;470;100;18;1;71;136;4685
;22254;Prat;82;0;0;164;22;139;50;119;37;1;0;16;33;663
;22255;La Prénessaye;51;1;0;151;14;123;36;75;20;0;0;23;17;513
;22256;Quemper-Guézennec;106;1;0;178;27;139;64;101;38;1;1;25;22;704
;22257;Quemperven;40;4;0;57;11;44;18;27;10;1;0;9;7;230
;22258;Quessoy;296;7;4;748;113;505;170;254;95;6;0;56;88;2341
;22259;Quévert;532;9;2;793;214;475;223;264;71;10;2;34;92;2721
;22260;Le Quillio;34;1;0;90;4;70;24;34;14;0;0;8;16;295
;22261;Quintenic;25;0;0;73;10;46;15;27;10;0;0;8;13;227
