Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Pays de la Loire;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;49174;Huillé-Lézigné;70;1;0;256;30;182;77;130;38;0;1;35;35;856
;49176;Le Lion-d'Angers;363;4;2;831;132;639;242;333;73;6;0;41;75;2740
;49178;Loiré;59;2;2;152;26;120;58;74;20;4;0;9;22;549
;49180;Longué-Jumelles;502;16;3;1137;227;790;372;568;199;6;0;144;206;4169
;49182;Louresse-Rochemenier;44;3;0;158;14;121;36;80;21;4;0;22;22;525
;49183;Val d'Erdre-Auxence;267;6;1;814;99;629;225;425;105;10;0;67;105;2753
;49188;Marcé;48;3;0;161;20;110;48;66;13;1;0;12;15;498
;49192;Maulévrier;296;7;2;629;112;388;184;232;57;5;0;32;66;2011
;49193;Le May-sur-Èvre;296;7;0;629;132;460;237;274;69;7;0;33;89;2234
;49194;Mazé-Milon;482;14;2;1053;198;689;325;476;132;13;1;85;133;3604
;49195;Mazières-en-Mauges;137;2;1;234;44;140;81;77;16;6;0;7;17;763
;49200;Longuenée-en-Anjou;648;15;4;1171;273;798;383;407;103;23;1;51;117;3994
;49201;La Ménitré;173;7;3;358;58;262;152;172;50;6;1;24;58;1325
;49205;Miré;47;1;0;127;20;110;50;79;36;0;0;10;21;501
;49209;Montigné-lès-Rairies;16;0;0;62;3;41;19;35;12;1;0;15;9;213
;49211;Montilliers;99;0;0;250;26;162;55;96;36;1;0;23;22;771
