Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;01349;Saint-Éloi;76;1;1;105;27;59;26;30;3;2;0;3;11;345
;01350;Saint-Étienne-du-Bois;325;8;1;458;129;291;156;148;33;2;0;28;56;1635
;01351;Saint-Étienne-sur-Chalaronne;148;5;0;272;45;211;95;118;29;1;0;8;41;972
;01352;Saint-Étienne-sur-Reyssouze;51;0;0;94;15;71;28;43;10;0;0;4;16;332
;01353;Sainte-Euphémie;236;2;6;335;70;221;102;86;15;7;0;9;30;1120
;01354;Saint-Genis-Pouilly;2129;3;18;1795;681;869;500;347;76;27;2;32;127;6607
;01355;Saint-Genis-sur-Menthon;42;0;0;121;15;70;23;33;5;3;0;5;12;329
;01356;Saint-Georges-sur-Renon;25;0;0;30;12;31;12;14;5;0;0;1;4;134
;01357;Saint-Germain-de-Joux;47;0;0;76;16;63;28;41;8;0;0;2;9;291
;01358;Saint-Germain-les-Paroisses;35;0;0;64;9;48;27;48;16;0;0;3;8;258
;01359;Saint-Germain-sur-Renon;28;0;0;54;9;33;12;9;7;0;0;1;5;159
;01360;Saint-Jean-de-Gonville;454;1;4;374;116;149;99;62;7;7;0;5;30;1307
;01361;Saint-Jean-de-Niost;209;1;1;341;63;174;77;102;26;4;1;10;39;1048
;01362;Saint-Jean-de-Thurigneux;105;3;0;197;40;89;40;46;12;6;1;5;12;558
;01363;Saint-Jean-le-Vieux;221;0;2;322;81;230;85;119;35;4;0;24;32;1156
;01364;Saint-Jean-sur-Reyssouze;58;0;0;137;24;110;36;54;24;3;0;9;25;480
;01365;Saint-Jean-sur-Veyle;117;4;1;214;43;146;56;70;30;4;0;10;18;713
;01366;Sainte-Julie;111;2;1;228;46;127;50;80;17;1;1;7;30;699
;01367;Saint-Julien-sur-Reyssouze;55;0;0;143;25;81;26;59;16;0;0;11;23;439
;01368;Saint-Julien-sur-Veyle;78;2;0;136;28;93;47;44;13;1;0;6;22;468
;01369;Saint-Just;151;1;0;193;48;104;54;51;7;1;0;6;14;631
;01370;Saint-Laurent-sur-Saône;198;3;0;178;68;162;106;88;26;0;0;7;28;864
;01371;Saint-Marcel;112;3;1;237;71;180;74;84;23;1;1;10;24;822
