Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Grand Est;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;08320;La Neuville-en-Tourne-à-Fuy;34;0;0;127;10;59;21;33;6;1;0;3;4;298
;08321;Neuville-Day;13;0;0;39;3;17;6;12;9;1;0;2;10;112
;08322;Neuville-lès-This;54;0;0;92;12;52;11;23;5;0;0;6;7;262
;08323;La Neuville-lès-Wasigny;3;0;0;28;3;17;9;17;7;0;0;3;2;90
;08324;Neuvizy;6;0;0;32;4;14;8;8;8;0;0;0;4;84
;08325;Noirval;1;0;0;5;0;4;0;0;1;0;0;1;4;16
;08326;Nouart;7;0;0;18;5;13;4;20;3;1;0;0;4;75
;08327;Nouvion-sur-Meuse;253;3;0;384;81;285;113;149;34;0;0;16;31;1349
;08328;Nouzonville;479;21;2;797;189;682;276;377;93;8;0;42;83;3050
;08329;Novion-Porcien;33;0;0;113;16;64;15;40;12;0;0;6;12;311
;08330;Novy-Chevrières;47;2;0;149;19;102;27;46;3;0;0;7;10;413
;08331;Noyers-Pont-Maugis;84;3;0;118;21;82;30;42;11;0;0;8;10;410
;08332;Oches;0;0;0;7;0;11;2;3;1;0;0;1;1;27
;08333;Olizy-Primat;10;2;0;41;1;38;9;25;4;0;0;2;4;137
;08334;Omicourt;6;0;0;12;2;6;1;5;3;0;0;1;0;36
;08335;Omont;6;0;0;14;2;12;5;7;1;0;1;1;5;55
;08336;Osnes;14;0;1;50;3;31;8;26;3;0;0;3;5;145
;08338;Pauvres;7;2;0;36;2;26;3;16;3;0;0;0;4;100
;08339;Perthes;32;1;1;59;7;31;10;19;1;0;0;5;10;177
;08340;Poilcourt-Sydney;9;0;0;40;5;29;2;16;2;1;0;4;3;111
;08341;Poix-Terron;96;4;0;170;31;102;41;48;13;9;0;6;14;535
;08342;Pouru-aux-Bois;22;2;0;57;3;42;6;25;7;1;0;6;5;176
;08343;Pouru-Saint-Remy;88;2;0;233;28;137;63;87;30;1;0;13;30;713
;08344;Prez;1;0;0;21;2;23;5;11;1;0;0;4;4;73
;08346;Prix-lès-Mézières;387;4;0;480;84;201;69;90;15;4;0;9;24;1366
