Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Corse;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;2B112;Feliceto;18;2;0;31;8;27;10;13;3;0;0;2;7;123
;2B113;Ficaja;4;0;0;7;3;4;3;3;0;0;0;0;1;25
;2B116;Focicchia;2;0;0;4;2;1;3;0;1;0;0;0;0;13
;2B120;Furiani;1395;8;7;1105;340;620;233;319;88;13;0;59;48;4236
;2B121;Galéria;45;0;0;62;29;48;22;31;6;0;0;12;17;272
;2B122;Gavignano;7;0;0;5;4;5;5;7;1;0;0;2;3;39
;2B123;Ghisonaccia;472;2;3;655;140;462;201;355;116;7;0;90;84;2587
;2B124;Ghisoni;25;0;0;29;12;23;11;19;8;0;0;2;4;133
;2B125;Giocatojo;3;0;0;6;0;2;6;0;0;0;0;1;2;20
;2B126;Giuncaggio;5;0;0;6;2;5;4;3;2;0;0;4;0;31
;2B134;L'Île-Rousse;539;2;3;468;164;358;233;250;71;9;0;49;109;2254
;2B135;Isolaccio-di-Fiumorbo;17;0;0;26;7;20;15;16;8;0;0;9;11;130
;2B136;Lama;26;0;0;25;6;12;8;2;2;0;0;2;6;90
;2B137;Lano;1;0;0;0;0;1;0;0;0;0;0;0;0;2
;2B138;Lavatoggio;11;3;0;22;9;12;17;10;4;0;0;2;6;97
;2B140;Lento;8;0;0;4;6;8;7;4;0;0;0;2;1;40
;2B143;Linguizzetta;73;1;0;139;32;105;53;94;43;2;1;41;31;616
;2B145;Loreto-di-Casinca;14;0;0;22;6;17;8;14;4;0;0;11;2;98
;2B147;Lozzi;10;0;0;14;3;8;4;6;1;0;0;0;3;50
;2B148;Lucciana;5307;4;6;4067;265;696;254;366;98;20;0;87;88;11258
;2B149;Lugo-di-Nazza;7;0;0;8;1;9;6;2;0;0;0;1;0;35
;2B150;Lumio;186;2;3;175;92;166;164;122;37;2;1;33;71;1055
;2B152;Luri;141;0;0;112;46;74;58;55;10;0;0;11;23;530
;2B153;Manso;9;0;0;20;5;11;0;8;2;0;0;0;2;57
