Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;21130;Chambeire;39;2;0;85;10;53;19;33;6;0;1;5;3;257
;21131;Chamblanc;57;1;0;89;18;79;29;31;8;0;0;5;19;337
;21132;Chamboeuf;49;1;0;87;19;47;15;24;6;1;0;1;6;257
;21133;Chambolle-Musigny;32;0;0;61;15;28;26;18;1;0;0;1;7;189
;21134;Chamesson;16;0;0;47;7;35;8;31;7;0;0;3;8;163
;21135;Champagne-sur-Vingeanne;20;1;0;61;3;48;18;26;14;0;0;3;4;199
;21136;Champagny;0;0;0;9;1;3;1;0;1;0;0;0;1;16
;21137;Champ-d'Oiseau;7;0;0;22;1;16;1;5;4;0;0;2;1;59
;21138;Champdôtre;58;1;1;99;16;84;32;53;12;0;1;12;10;380
;21139;Champeau-en-Morvan;19;2;0;43;6;26;12;22;14;0;0;13;8;166
;21140;Champignolles;8;0;0;15;2;9;7;9;1;0;0;2;0;53
;21141;Champrenault;3;0;0;5;1;10;2;4;0;0;0;0;1;26
;21142;Chanceaux;16;0;0;38;5;27;7;15;6;0;1;1;4;121
;21143;Channay;6;0;0;12;5;9;1;8;2;0;0;3;1;48
;21144;Charencey;15;0;0;34;4;15;7;17;3;1;0;2;3;101
;21145;Charigny;0;0;0;8;1;3;2;1;1;0;0;0;2;18
;21146;Charmes;15;1;0;30;4;16;2;14;3;0;0;3;1;90
;21147;Charny;2;0;0;3;1;5;3;8;1;0;0;0;1;24
;21148;Charrey-sur-Saône;20;1;0;68;12;44;13;30;8;0;0;8;7;210
;21149;Charrey-sur-Seine;10;0;0;27;3;20;5;20;4;0;0;1;4;94
;21150;Chassagne-Montrachet;49;0;7;117;11;32;25;15;6;2;0;4;15;284
;21151;Chassey;8;0;0;18;4;13;2;6;2;0;0;1;3;57
;21152;Châteauneuf;7;0;0;14;3;12;8;7;4;0;0;1;2;58
;21153;Châtellenot;13;0;0;31;5;19;14;24;8;0;0;8;8;130
;21154;Châtillon-sur-Seine;510;6;2;754;150;477;270;297;88;4;0;56;118;2733
;21155;Chaudenay-la-Ville;5;0;0;5;2;3;2;2;2;0;0;2;2;25
;21156;Chaudenay-le-Château;4;0;0;6;0;5;2;1;5;0;0;2;2;27
;21157;Chaugey;0;0;0;1;0;4;1;0;1;0;0;0;2;9
;21158;Chaume-et-Courchamp;13;1;0;31;7;21;11;13;8;0;0;7;6;119
;21159;La Chaume;5;1;0;17;1;15;5;8;2;0;0;5;2;61
;21160;Chaume-lès-Baigneux;5;1;0;13;0;16;6;9;2;0;0;1;1;55
;21161;Chaumont-le-Bois;8;0;0;27;1;13;7;8;0;0;1;3;3;71
;21162;Chaux;50;4;1;88;16;57;24;28;12;1;0;2;7;289
;21163;Chazeuil;17;0;0;55;2;25;9;19;3;0;0;2;7;138
;21164;Chazilly;6;0;0;32;5;16;7;11;5;0;0;2;8;93
;21165;Chemin-d'Aisey;5;0;0;12;1;13;0;8;3;0;0;5;3;50
;21166;Chenôve;1833;23;43;2763;440;1412;681;921;250;20;2;96;177;8660
;21167;Cheuge;7;0;0;31;4;17;13;7;4;2;0;2;4;92
;21168;Chevannay;5;0;0;8;3;4;0;3;2;0;0;0;1;26
;21169;Chevannes;7;0;0;34;9;17;10;8;6;0;0;2;4;97
;21170;Chevigny-en-Valière;34;1;0;88;16;38;12;23;7;0;0;4;7;230
;21171;Chevigny-Saint-Sauveur;1627;20;9;1944;547;1282;653;543;100;10;0;45;169;6950
;21172;Chivres;22;1;0;54;13;32;24;24;6;0;0;2;8;185
;21173;Chorey-les-Beaune;78;2;1;126;21;70;36;32;12;1;0;5;20;405
;21175;Cirey-lès-Pontailler;18;0;0;45;8;21;10;21;2;1;0;4;1;131
;21176;Civry-en-Montagne;7;0;0;28;5;15;8;7;2;0;0;0;2;74
;21177;Clamerey;16;0;1;37;6;23;7;18;6;0;0;4;10;129
;21178;Valforêt;34;1;0;65;14;46;17;18;4;0;0;4;7;212
;21179;Clénay;159;5;0;183;51;87;52;42;13;4;1;10;14;623
;21180;Cléry;9;0;0;31;5;23;9;12;4;0;0;3;6;103
;21181;Clomot;10;0;0;26;3;14;6;4;5;0;0;8;6;82
;21182;Collonges-lès-Bévy;7;0;0;19;2;7;3;9;2;0;0;0;0;50
;21183;Collonges-et-Premières;95;1;0;163;37;123;46;71;9;1;0;9;24;580
;21184;Colombier;4;0;0;8;2;8;2;7;2;0;0;2;2;37
;21185;Combertault;59;0;0;112;19;60;25;33;6;1;0;2;12;331
;21186;Comblanchien;73;1;0;142;31;76;35;31;15;0;0;4;10;418
;21187;Commarin;16;0;0;20;5;15;4;13;1;0;0;1;4;79
;21189;Corberon;52;0;1;105;15;51;16;24;1;1;0;1;9;277
;21190;Corcelles-les-Arts;64;4;0;96;16;51;21;30;4;0;1;1;14;302
;21191;Corcelles-lès-Cîteaux;127;5;0;190;39;98;42;49;10;1;0;9;28;599
;21192;Corcelles-les-Monts;137;2;4;118;37;58;44;39;5;1;0;6;11;463
;21193;Corgengoux;44;0;0;69;14;49;26;25;6;1;0;1;10;246
;21194;Corgoloin;104;2;0;181;26;121;52;61;17;0;0;16;22;603
;21195;Cormot-Vauchignon;26;0;0;29;8;22;16;12;4;0;0;4;5;126
;21196;Corpeau;107;3;1;223;40;129;54;58;24;5;0;10;30;683
;21197;Corpoyer-la-Chapelle;0;0;0;6;1;5;3;2;3;0;0;0;0;20
;21198;Corrombles;21;0;0;33;10;33;19;20;9;0;0;5;18;168
;21199;Corsaint;11;0;0;26;1;20;5;11;2;0;0;4;5;85
;21200;Couchey;203;6;1;194;75;101;84;55;16;0;0;6;25;766
;21201;Coulmier-le-Sec;12;0;0;51;8;29;14;27;7;0;0;5;1;153
;21202;Courban;11;0;0;33;4;16;8;13;6;0;0;4;4;99
;21203;Courcelles-Frémoy;8;0;0;25;8;17;10;9;6;0;0;1;4;89
;21204;Courcelles-lès-Montbard;6;0;0;15;8;13;5;5;1;0;0;2;4;59
;21205;Courcelles-lès-Semur;27;0;1;53;4;37;11;22;7;0;0;6;4;173
;21207;Courlon;3;0;0;17;3;10;4;8;2;0;0;4;0;51
;21208;Courtivron;10;1;0;30;3;36;7;18;9;0;0;1;5;120
;21209;Couternon;373;5;5;390;94;225;112;90;14;5;0;6;35;1355
;21210;Créancey;50;1;1;130;18;59;27;48;13;0;0;12;14;372
;21211;Crécey-sur-Tille;17;2;0;30;4;21;11;10;3;0;0;3;8;109
;21212;Crépand;38;0;0;68;11;47;19;26;9;2;0;1;10;232
;21214;Crugey;14;0;0;27;5;25;15;11;3;0;0;4;5;110
;21215;Cuiserey;9;1;0;40;0;23;15;15;4;0;0;1;7;116
;21216;Culètre;10;0;0;13;2;8;5;5;1;0;0;2;2;48
;21217;Curley;15;0;0;22;4;17;12;13;4;0;0;2;1;91
;21218;Curtil-Saint-Seine;13;0;0;23;10;8;8;9;0;1;0;1;2;75
;21219;Curtil-Vergy;22;0;0;30;5;12;12;4;1;0;0;0;2;87
;21220;Cussey-les-Forges;10;0;0;26;2;23;11;16;3;0;0;2;3;97
;21221;Cussy-la-Colonne;3;0;0;6;4;6;2;4;0;0;0;0;0;25
;21222;Cussy-le-Châtel;8;1;0;16;4;16;5;10;3;0;0;3;4;71
;21223;Daix;326;0;5;295;95;124;89;58;14;2;0;6;35;1048
;21224;Dampierre-en-Montagne;4;0;0;12;0;9;7;9;1;0;0;1;1;44
;21225;Dampierre-et-Flée;12;0;0;25;3;21;5;7;2;0;0;3;3;81
;21226;Darcey;17;1;0;67;2;38;15;30;10;1;0;7;10;198
;21227;Darois;68;0;0;91;22;46;28;20;9;0;1;4;17;306
;21228;Détain-et-Bruant;17;2;0;21;5;21;6;12;2;0;0;2;1;89
;21229;Diancey;7;0;0;16;2;8;6;9;1;1;0;2;6;58
;21230;Diénay;37;0;0;78;15;45;20;21;8;2;0;5;13;244
;21231;Dijon;19685;297;127;20039;6408;10933;7517;5801;1291;262;17;650;2083;75110
;21232;Dompierre-en-Morvan;12;0;0;42;4;23;13;21;8;1;0;8;6;138
;21233;Drambon;14;0;0;34;4;22;11;13;6;0;0;3;4;112
;21234;Drée;2;0;0;11;2;6;6;6;2;0;0;2;1;38
;21235;Duesme;4;0;0;13;1;5;2;3;0;0;0;0;2;30
;21236;Ébaty;32;1;0;45;11;31;18;17;7;1;0;5;10;178
;21237;Échalot;5;0;0;25;1;12;7;6;0;1;0;5;3;64
;21238;Échannay;19;1;0;15;4;17;6;11;2;0;0;0;4;80
;21239;Échenon;45;0;0;139;23;95;30;72;24;0;0;13;10;451
;21240;Échevannes;27;0;0;67;10;31;12;9;8;0;0;1;4;170
;21241;Échevronne;47;2;0;58;10;42;17;21;2;0;0;4;7;211
;21242;Échigey;27;0;0;60;8;37;13;20;2;0;0;2;7;175
;21243;Écutigny;9;0;0;12;6;14;6;9;1;0;0;0;3;60
;21244;Éguilly;6;0;0;10;0;6;3;6;0;0;0;1;2;35
;21245;Épagny;47;1;0;63;9;35;13;13;4;0;0;4;6;195
;21246;Épernay-sous-Gevrey;21;0;0;37;8;13;9;15;4;0;0;6;2;116
;21247;Époisses;61;1;0;121;20;99;45;53;23;0;0;5;23;451
;21248;Éringes;3;1;0;10;0;10;5;9;1;0;0;0;1;40
;21249;Esbarres;44;1;0;124;20;93;29;63;13;0;0;8;19;415
;21250;Essarois;4;1;0;26;3;10;7;8;2;0;0;0;6;67
;21251;Essey;22;0;0;74;7;40;9;22;10;0;0;5;8;197
;21252;Étais;3;0;0;14;2;12;5;12;2;0;0;2;1;53
;21253;Étalante;7;0;0;29;4;15;3;18;5;0;0;7;2;90
;21254;L'Étang-Vergy;23;1;0;31;6;24;9;9;6;0;0;7;8;125
;21255;Étaules;60;1;2;60;14;24;12;13;1;2;0;3;8;200
;21256;Étevaux;26;0;0;68;6;45;17;27;6;0;0;2;9;207
;21257;Étormay;1;0;0;18;2;8;1;3;1;0;0;2;4;40
;21258;Étrochey;14;0;0;39;9;30;8;15;5;0;1;5;4;131
;21259;Fain-lès-Montbard;22;0;1;61;4;37;18;32;9;1;0;11;7;202
;21260;Fain-lès-Moutiers;7;1;0;19;5;13;8;20;9;0;0;6;4;92
;21261;Fauverney;81;1;2;183;33;84;35;35;3;2;0;3;14;475
;21262;Faverolles-lès-Lucey;1;0;0;8;1;7;1;0;1;0;0;1;1;21
;21263;Fénay;285;2;2;315;81;191;104;101;19;3;0;13;30;1146
;21264;Le Fête;1;0;0;4;4;10;1;4;4;0;0;0;1;29
;21265;Fixin;158;1;2;136;43;72;53;33;12;2;0;5;20;537
;21266;Flacey;21;0;1;36;4;18;8;8;5;1;0;3;5;111
;21267;Flagey-Echézeaux;61;2;1;109;13;63;22;25;6;2;0;6;22;333
;21269;Flammerans;45;2;0;82;20;59;23;46;8;1;0;5;9;300
;21270;Flavignerot;19;1;0;30;11;25;13;12;2;0;0;0;1;115
;21271;Flavigny-sur-Ozerain;19;1;0;40;9;23;11;16;5;0;0;1;7;133
;21272;Le Val-Larrey;25;0;0;41;6;35;13;28;10;1;0;9;5;174
;21273;Fleurey-sur-Ouche;181;3;1;295;68;149;67;82;13;1;0;6;38;905
;21274;Foissy;6;0;1;37;4;22;6;20;3;0;0;7;3;110
;21275;Foncegrive;12;0;0;25;3;15;8;16;3;0;0;3;2;86
;21276;Fontaines-en-Duesmois;8;0;0;24;4;13;6;10;7;0;0;0;6;79
;21277;Fontaine-Française;67;1;1;173;18;114;48;62;16;1;0;12;23;537
;21278;Fontaine-lès-Dijon;1825;19;22;1323;536;719;591;316;70;16;3;39;176;5655
;21279;Fontaines-les-Sèches;5;0;0;5;1;1;2;1;1;0;0;0;3;19
;21280;Fontangy;5;0;0;31;1;16;8;6;8;0;0;9;7;91
;21281;Fontenelle;7;0;0;24;3;21;8;12;4;1;0;3;4;87
;21282;Forléans;5;0;0;19;4;15;6;7;3;0;0;1;3;63
;21283;Fraignot-et-Vesvrotte;4;0;0;12;2;12;2;6;2;0;0;1;1;43
;21284;Francheville;18;1;0;50;8;39;17;24;5;0;0;7;3;172
;21285;Franxault;33;0;0;80;17;62;10;35;9;0;0;5;12;262
;21286;Frénois;4;0;0;17;0;9;3;7;5;0;0;1;3;49
;21287;Fresnes;12;0;0;26;12;23;12;19;5;0;0;5;7;121
;21288;Frôlois;10;0;0;37;6;20;10;15;6;0;0;6;6;117
;21289;Fussey;13;1;0;22;3;15;8;11;5;0;0;4;1;83
;21290;Gemeaux;74;2;2;156;31;107;41;56;21;1;0;4;10;505
;21291;Genay;33;1;0;64;10;57;21;34;7;1;1;4;14;247
;21292;Genlis;570;14;1;881;224;606;317;334;108;13;0;46;103;3217
;21293;Gergueil;4;0;0;39;5;20;8;9;2;0;0;1;1;89
;21294;Gerland;39;1;1;90;13;51;21;26;7;0;0;4;7;262
;21295;Gevrey-Chambertin;442;7;7;637;122;305;196;166;58;6;1;25;73;2046
;21296;Gevrolles;10;0;0;39;5;14;12;18;4;0;0;8;3;114
;21297;Gilly-lès-Cîteaux;106;3;1;146;27;83;44;41;22;3;0;4;20;501
;21298;Gissey-le-Vieil;11;0;0;17;4;14;6;11;6;0;0;2;2;73
;21299;Gissey-sous-Flavigny;9;0;0;16;4;16;5;11;2;0;0;2;1;66
;21300;Gissey-sur-Ouche;36;2;0;70;11;48;20;34;8;1;0;6;6;243
;21301;Glanon;28;1;1;49;10;28;9;18;10;1;0;2;11;168
;21302;Gomméville;6;0;0;22;5;15;5;12;4;0;0;5;2;78
;21303;Les Goulles;1;0;0;3;0;1;1;1;1;0;0;0;0;8
;21304;Grancey-le-Château-Neuvelle;20;1;0;42;6;36;17;20;13;3;0;3;7;169
;21305;Grancey-sur-Ource;7;1;0;37;3;29;12;13;9;0;0;5;9;126
