Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Hauts-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;02138;Buzancy;19;1;0;43;3;25;9;10;3;0;0;2;1;116
;02139;Caillouël-Crépigny;37;0;0;89;16;61;19;32;11;0;0;10;11;286
;02140;Camelin;37;3;1;63;12;58;27;38;6;0;1;7;18;272
;02141;La Capelle;146;4;1;303;45;190;110;112;48;0;0;14;28;1002
;02142;Castres;33;0;0;71;10;21;6;7;9;1;0;2;5;165
;02143;Le Catelet;17;1;0;50;5;18;9;20;2;0;0;3;2;127
;02144;Caulaincourt;15;0;0;31;4;13;6;6;1;0;0;0;1;77
;02145;Caumont;47;2;0;136;21;68;30;34;9;0;0;1;11;359
;02146;Celles-lès-Condé;6;0;0;19;1;6;2;7;1;2;0;0;2;47
;02148;Celles-sur-Aisne;21;0;0;48;13;29;13;30;10;0;0;4;4;173
;02149;Cerizy;5;0;0;17;0;9;0;2;0;0;0;0;0;33
;02150;Cerny-en-Laonnois;8;0;0;11;1;8;3;2;0;0;0;3;1;37
;02151;Cerny-lès-Bucy;16;0;0;27;6;11;10;8;1;0;0;0;4;82
;02152;Cerseuil;5;0;0;19;6;8;3;4;0;0;0;3;1;50
;02153;Cessières-Suzy;90;6;2;157;22;105;44;51;13;0;0;5;18;513
;02154;Chacrise;39;2;0;67;12;43;17;20;3;0;0;5;6;214
;02155;Chaillevois;24;1;0;37;10;17;5;12;2;0;0;3;2;114
;02156;Chalandry;17;0;0;49;5;21;9;25;3;3;0;4;7;143
;02157;Chambry;171;1;0;296;31;96;51;41;13;0;0;3;12;715
;02158;Chamouille;22;1;0;44;5;34;17;18;6;0;0;4;6;157
;02159;Champs;14;0;0;45;8;27;9;30;18;0;0;2;11;164
;02160;Chaourse;25;1;0;99;11;49;20;35;17;1;1;6;13;279
;02162;La Chapelle-sur-Chézy;19;1;0;54;8;29;12;21;7;0;0;2;8;162
;02163;Charly-sur-Marne;214;6;1;425;81;277;116;189;45;4;0;27;51;1435
;02164;Le Charmel;28;0;0;65;15;39;20;22;7;0;0;7;8;211
;02165;Charmes;150;2;1;295;50;190;83;126;43;2;0;16;38;997
;02167;Chassemy;87;0;1;178;15;104;43;52;12;0;0;10;9;511
;02168;Château-Thierry;1598;16;7;1985;507;1397;774;904;210;36;3;92;214;7743
;02169;Châtillon-lès-Sons;3;0;0;17;2;7;4;6;2;0;0;1;0;42
;02170;Châtillon-sur-Oise;7;0;0;32;2;16;5;7;5;0;0;4;4;83
;02171;Chaudardes;9;0;0;26;1;15;4;5;0;0;0;3;2;65
;02172;Chaudun;19;0;0;60;8;28;8;20;4;0;0;4;6;157
;02173;Chauny;1097;24;8;1772;341;1114;560;605;161;12;2;86;212;5995
;02174;Chavignon;81;0;1;152;22;93;28;67;25;1;0;5;18;492
;02175;Chavigny;10;1;0;27;3;19;10;6;5;0;0;1;7;89
;02176;Chavonne;25;0;0;44;6;22;9;10;2;0;0;0;1;119
;02177;Chérêt;19;0;0;31;3;21;7;8;2;0;0;2;5;98
;02178;Chermizy-Ailles;8;0;0;25;3;13;7;12;4;0;0;2;5;79
;02179;Chéry-Chartreuve;32;0;0;71;12;34;12;22;5;1;0;1;7;198
;02180;Chéry-lès-Pouilly;71;0;0;157;23;88;32;43;11;0;0;8;5;439
;02181;Chéry-lès-Rozoy;3;0;0;8;3;10;3;11;2;0;0;0;2;42
;02182;Chevennes;11;0;0;22;3;14;5;18;2;0;0;3;2;80
;02183;Chevregny;24;1;1;39;5;25;8;9;3;0;0;0;5;120
;02184;Chevresis-Monceau;23;1;0;49;9;34;10;27;17;0;0;7;8;186
;02185;Chézy-en-Orxois;27;2;0;66;12;52;15;27;5;0;0;7;8;222
;02186;Chézy-sur-Marne;137;1;1;261;57;153;81;71;25;1;0;11;30;829
;02187;Chierry;160;3;0;184;54;110;65;66;12;1;0;12;16;683
;02188;Chigny;10;0;0;24;2;20;6;15;5;0;0;1;6;90
;02189;Chivres-en-Laonnois;31;0;0;61;13;50;8;35;8;1;0;3;7;218
;02190;Chivres-Val;61;0;0;99;17;70;23;61;13;0;0;6;10;360
;02191;Chivy-lès-Étouvelles;59;1;0;120;18;55;25;35;7;1;0;7;15;342
;02192;Chouy;32;0;0;73;11;42;10;30;10;0;0;5;12;226
;02193;Cierges;3;0;0;15;1;11;3;4;0;0;0;2;2;41
;02194;Cilly;22;0;0;44;1;19;10;13;2;0;0;4;7;123
;02195;Ciry-Salsogne;101;2;0;204;26;115;38;55;15;0;0;7;26;589
;02196;Clacy-et-Thierret;35;2;1;106;10;61;17;28;4;1;0;6;12;283
;02197;Clairfontaine;32;3;0;107;17;66;28;44;13;0;0;19;17;345
;02198;Clamecy;24;1;1;41;12;29;9;18;7;0;0;1;1;145
;02199;Clastres;42;4;0;121;17;81;26;47;23;1;0;11;16;388
;02200;Clermont-les-Fermes;6;0;0;16;6;17;6;11;7;0;0;0;6;75
;02201;Coeuvres-et-Valsery;33;1;0;63;14;53;9;35;8;0;0;6;7;230
;02203;Coincy;100;2;0;200;29;155;67;115;33;0;0;12;28;741
;02204;Coingt;6;0;0;13;4;8;2;8;7;0;0;3;4;55
;02205;Colligis-Crandelain;18;0;0;45;3;23;11;14;2;0;0;6;3;126
;02206;Colonfay;8;0;0;8;4;5;3;4;1;0;0;4;3;41
;02207;Commenchon;24;0;1;36;6;24;13;10;5;0;0;4;4;128
;02208;Concevreux;28;0;0;57;9;37;8;23;4;0;0;5;4;175
;02209;Condé-en-Brie;41;1;0;97;23;71;27;34;10;1;0;6;21;333
;02210;Condé-sur-Aisne;33;1;0;71;11;53;16;23;8;1;0;2;3;220
;02211;Condé-sur-Suippe;21;1;0;48;4;43;12;20;5;1;0;2;1;160
;02212;Condren;92;1;0;184;26;86;41;62;23;2;0;10;13;542
;02213;Connigis;24;1;0;67;13;42;11;25;10;0;0;4;9;207
;02214;Contescourt;7;0;0;9;0;5;3;3;0;0;0;1;0;28
;02215;Corbeny;57;2;0;205;19;91;32;52;20;2;0;10;9;500
;02216;Corcy;34;0;0;77;10;46;20;26;11;1;0;7;12;243
;02217;Coucy-le-Château-Auffrique;76;3;1;189;28;114;38;73;30;1;0;17;25;595
;02218;Coucy-lès-Eppes;66;0;1;128;23;64;23;40;16;0;0;4;6;372
;02219;Coucy-la-Ville;23;0;0;35;1;25;14;11;2;0;0;0;5;117
;02220;Coulonges-Cohan;25;0;2;77;16;51;24;35;4;1;0;8;15;259
;02221;Coupru;12;0;0;39;4;26;9;12;6;0;0;4;3;116
;02222;Courbes;1;0;0;8;0;3;1;2;0;0;0;0;1;17
;02223;Courboin;21;0;0;50;8;43;18;22;13;0;0;3;12;190
;02224;Courcelles-sur-Vesle;29;0;0;69;11;43;13;29;4;0;0;6;8;213
;02225;Courchamps;6;0;0;17;6;7;7;6;1;0;0;0;2;52
;02226;Courmelles;272;4;1;294;78;203;92;93;19;0;0;9;31;1096
;02227;Courmont;8;0;0;26;7;12;10;9;3;2;0;0;7;84
;02228;Courtemont-Varennes;33;0;0;55;11;52;9;19;3;2;0;4;2;192
;02229;Courtrizy-et-Fussigny;5;0;0;8;2;7;2;4;1;0;0;0;1;31
;02230;Couvrelles;16;1;0;28;6;23;4;17;2;0;0;4;6;107
;02231;Couvron-et-Aumencourt;80;2;0;162;29;101;48;63;18;2;0;8;7;519
;02232;Coyolles;23;1;0;97;6;39;9;18;2;4;0;3;5;208
;02233;Cramaille;12;0;0;35;1;23;11;10;5;0;0;1;5;103
;02234;Craonne;13;0;0;18;2;7;2;3;2;0;0;1;3;51
;02235;Craonnelle;7;0;0;25;3;19;3;15;2;0;0;0;4;78
;02236;Crécy-au-Mont;28;2;1;58;8;35;8;36;10;0;0;3;7;197
;02237;Crécy-sur-Serre;121;3;0;244;31;175;62;81;21;2;0;13;28;781
;02238;Crépy;196;4;0;312;53;208;74;126;27;1;0;23;34;1058
;02239;Crézancy;102;1;0;165;35;147;70;72;11;1;0;14;25;643
;02240;Croix-Fonsomme;14;2;0;32;7;17;10;19;12;0;0;2;2;118
