Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Occitanie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;09228;Perles-et-Castelet;27;0;1;60;6;31;14;13;7;0;0;4;4;167
;09229;Le Peyrat;45;2;0;91;8;51;30;41;18;0;0;9;11;308
;09230;Le Pla;5;0;0;14;2;9;4;5;0;0;0;0;3;42
;09231;Le Port;13;2;0;18;6;14;11;20;4;0;0;6;10;103
;09232;Prades;8;0;0;6;1;4;1;0;0;0;0;1;2;23
;09233;Pradettes;5;0;1;11;3;3;2;5;1;0;0;2;0;33
;09234;Pradières;11;0;0;32;3;15;5;14;1;1;0;1;5;88
;09235;Prat-Bonrepaux;73;7;1;128;24;91;45;59;32;1;0;18;35;514
;09236;Prayols;40;1;1;88;18;62;19;28;10;4;0;6;6;283
;09237;Le Puch;1;0;0;5;0;2;2;6;0;0;0;2;4;22
;09238;Les Pujols;82;1;0;153;18;105;28;53;16;2;0;23;28;509
;09239;Quérigut;9;0;0;27;8;17;10;9;5;0;0;5;7;97
;09240;Quié;29;0;0;50;9;42;13;19;11;1;0;9;10;194
;09241;Rabat-les-Trois-Seigneurs;38;1;0;67;17;55;19;33;7;0;1;14;21;275
;09242;Raissac;7;1;0;5;0;5;1;4;0;0;0;3;0;27
;09243;Régat;11;0;0;19;4;12;3;8;3;0;0;0;2;63
;09244;Rieucros;59;0;0;122;12;92;36;59;24;1;0;11;20;437
;09245;Rieux-de-Pelleport;133;7;0;261;43;154;48;103;23;1;0;17;29;820
;09246;Rimont;50;2;0;91;11;63;27;54;32;0;1;21;22;375
;09247;Rivèrenert;17;4;0;30;4;18;10;21;14;1;0;9;8;136
;09249;Roquefixade;19;1;0;31;2;17;8;13;3;1;0;5;12;113
;09250;Roquefort-les-Cascades;11;0;0;21;2;14;4;10;2;1;0;6;2;74
;09251;Roumengoux;21;0;0;30;3;25;12;15;7;2;1;1;8;124
;09252;Rouze;4;1;0;10;1;4;6;3;2;0;0;2;1;34
;09253;Sabarat;29;1;0;57;11;38;20;37;8;0;0;11;9;222
;09254;Saint-Amadou;22;2;0;43;6;41;13;22;3;0;0;9;9;170
;09255;Saint-Amans;5;0;0;5;0;3;0;4;4;0;0;3;1;25
;09256;Saint-Bauzeil;6;1;0;8;2;5;3;5;4;0;0;2;2;38
;09257;Sainte-Croix-Volvestre;48;5;2;99;25;85;35;74;34;0;0;31;13;452
;09258;Saint-Félix-de-Rieutord;43;0;0;107;14;74;17;42;6;1;1;8;14;328
;09259;Saint-Félix-de-Tournegat;7;0;0;28;1;12;12;16;5;0;0;8;3;92
;09260;Sainte-Foi;0;0;0;8;1;4;0;2;1;0;0;0;1;17
;09261;Saint-Girons;731;30;6;1026;240;703;397;494;155;9;0;149;231;4171
;09262;Saint-Jean-d'Aigues-Vives;46;0;0;89;14;39;19;43;12;1;0;14;12;290
;09263;Saint-Jean-du-Castillonnais;1;0;0;5;0;2;1;3;2;0;0;2;3;19
;09264;Saint-Jean-de-Verges;132;2;1;285;41;178;79;107;36;6;0;24;36;927
;09265;Saint-Jean-du-Falga;350;3;1;498;119;408;154;215;59;4;0;42;68;1920
;09266;Saint-Julien-de-Gras-Capou;6;0;0;7;1;9;6;4;0;0;0;3;0;36
;09267;Saint-Lary;4;2;0;23;0;9;8;13;4;0;1;5;11;80
;09268;Saint-Lizier;177;11;1;279;54;156;78;116;41;4;0;25;48;989
;09269;Saint-Martin-de-Caralp;30;0;0;66;13;50;16;29;11;1;1;8;9;233
;09270;Saint-Martin-d'Oydes;16;2;0;38;5;32;10;12;11;0;0;5;9;139
;09271;Saint-Michel;4;0;0;11;2;7;3;11;4;0;0;2;5;50
;09272;Saint-Paul-de-Jarrat;131;4;1;267;41;196;70;106;28;5;0;30;37;916
;09273;Saint-Pierre-de-Rivière;78;3;0;125;28;96;37;56;19;0;0;12;18;472
;09274;Saint-Quentin-la-Tour;24;1;0;55;14;49;20;21;8;0;1;13;10;216
;09275;Saint-Quirc;37;1;0;67;10;56;23;28;8;0;0;5;9;245
;09276;Saint-Victor-Rouzaud;13;0;1;47;10;28;11;13;6;1;0;12;9;150
;09277;Saint-Ybars;42;1;0;108;15;93;26;57;13;2;0;13;13;383
;09279;Salsein;7;0;0;7;3;3;1;6;3;0;0;2;6;38
;09280;Saurat;47;2;1;105;17;94;34;72;37;1;0;24;37;472
;09281;Sautel;5;0;0;26;1;16;9;4;6;1;0;11;5;84
;09282;Saverdun;397;17;5;808;126;582;218;326;119;8;2;75;102;2784
;09283;Savignac-les-Ormeaux;45;1;0;65;17;44;23;32;13;0;0;8;12;261
;09284;Ségura;13;3;0;26;5;34;7;13;4;0;1;5;3;114
;09285;Seix;68;4;0;115;18;90;39;76;32;1;1;20;20;484
;09287;Senconac;0;0;0;1;1;0;0;2;1;0;0;0;0;5
;09289;Lorp-Sentaraille;151;3;2;262;47;185;74;122;49;5;0;37;53;990
;09290;Sentein;12;3;0;24;7;18;8;12;10;0;1;5;9;110
;09291;Sentenac-d'Oust;6;1;0;15;4;13;8;15;3;1;0;9;4;79
;09292;Sentenac-de-Sérou;1;0;1;3;1;6;1;4;2;0;1;3;3;27
;09293;Serres-sur-Arget;75;4;0;122;22;104;40;69;24;0;0;19;22;502
;09294;Sieuras;4;0;0;9;1;10;3;11;2;0;0;0;2;42
;09295;Siguer;14;0;0;23;5;16;7;6;7;0;0;3;3;85
;09296;Aulos-Sinsat;21;1;1;30;6;19;7;17;3;3;0;3;4;116
;09297;Sor;3;1;0;2;1;3;2;6;1;0;0;0;2;21
;09298;Sorgeat;5;1;0;13;3;17;2;16;5;0;0;3;3;68
;09299;Soueix-Rogalle;40;2;0;63;12;60;24;35;16;0;0;17;18;287
;09300;Soula;16;2;0;33;4;19;12;15;3;1;0;6;9;119
;09301;Soulan;35;4;0;47;10;47;14;42;19;0;0;22;11;249
;09303;Surba;40;1;1;79;14;51;16;35;10;1;0;13;17;277
;09304;Suzan;0;0;0;1;0;2;0;2;2;0;0;3;0;10
