Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Provence-Alpes-Côte d Azur;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;05100;Pelleautier;91;4;0;131;39;101;36;57;14;1;1;13;16;504
;05101;Vallouise-Pelvoux;134;6;2;241;48;168;86;104;24;0;0;14;43;870
;05102;La Piarre;2;0;0;12;3;11;4;13;0;0;0;4;1;50
;05103;Le Poët;100;2;0;138;21;100;36;67;19;2;0;24;29;537
;05104;Poligny;32;1;0;56;13;39;24;27;10;0;0;6;6;214
;05106;Prunières;45;2;0;72;9;34;21;20;8;0;0;3;16;231
;05107;Puy-Saint-André;59;2;0;81;22;60;32;39;15;2;0;8;18;339
;05108;Puy-Saint-Eusèbe;17;4;1;31;7;20;13;13;3;0;0;3;4;117
;05110;Puy-Saint-Vincent;23;3;0;74;9;44;16;18;9;0;0;2;7;206
;05111;Puy-Sanières;34;3;0;76;14;26;20;20;8;0;0;7;10;219
;05113;Rambaud;44;0;0;58;18;50;31;27;8;2;0;9;17;263
;05114;Réallon;24;0;0;42;5;28;2;8;3;0;0;5;2;120
;05115;Remollon;54;0;3;67;13;62;21;33;13;1;1;10;25;304
;05116;Réotier;20;0;0;33;7;32;10;14;5;1;2;3;3;131
;05117;Ribeyret;4;0;0;16;2;18;8;12;3;0;0;8;14;85
;05118;Val Buëch-Méouge;132;7;0;266;61;148;74;145;53;4;0;27;32;949
;05119;Risoul;86;0;0;142;23;87;40;60;20;2;0;6;19;487
;05121;Rochebrune;17;0;1;27;3;36;12;15;3;0;0;0;5;120
;05122;La Roche-de-Rame;75;3;2;155;30;115;43;76;21;0;0;16;29;565
;05123;La Roche-des-Arnauds;200;4;2;294;63;219;85;136;38;3;1;16;30;1093
;05124;La Rochette;56;0;1;91;14;57;27;49;22;0;1;1;20;340
;05126;Rosans;27;2;0;62;9;47;28;42;19;0;0;12;13;263
;05127;Rousset;21;2;0;36;8;28;11;9;3;0;0;1;3;122
;05128;Saint-André-d'Embrun;72;4;0;123;25;91;45;56;25;1;0;7;33;482
;05129;Saint-André-de-Rosans;6;0;0;28;4;23;9;13;5;0;0;4;3;95
;05130;Saint-Apollinaire;18;1;0;46;11;20;10;12;4;1;0;1;2;126
;05131;Saint-Auban-d'Oze;5;0;0;13;4;8;3;6;4;0;0;1;2;47
;05132;Saint-Bonnet-en-Champsaur;274;5;1;413;75;259;114;137;38;4;0;24;53;1398
;05133;Saint-Chaffrey;193;4;4;319;74;215;127;136;31;0;0;17;46;1167
;05134;Saint-Clément-sur-Durance;20;0;1;53;14;41;15;29;9;1;0;10;11;204
;05135;Sainte-Colombe;9;0;0;12;1;5;3;3;0;2;0;2;2;39
;05136;Saint-Crépin;79;3;0;126;29;111;34;60;24;1;1;8;19;494
;05139;Dévoluy;95;6;0;210;29;113;30;58;21;1;1;12;24;601
;05140;Saint-Étienne-le-Laus;34;0;0;54;9;33;18;17;5;0;0;5;7;182
;05142;Saint-Firmin;47;5;1;86;23;48;21;36;4;1;1;2;19;293
